date,year,decision,name,mandate,occupation,commission,sector
,,,Joaquín Almunia,Competition,"Notre Europe, Friends of Europe, European Policy Center, Center for European Reform, Foundation for European Progressive Studies, contract for participation in conferences and events, 5 academic activities",Juncker (2014-2019),Think tank / advisory
10 February 2015,2015.0,,Siim Kallas,Transport,1 academic activity,Other/Earlier,Other
4 February 2015,2015.0,,Neelie Kroes,Digital agenda,Bank of America Merrill Lynch,Other/Earlier,Finance / corporate
28 January 2015,2015.0,,Baroness Catherine Ashton,High Representative for Foreign Affairs and Security Policy,Academic lectures,Other/Earlier,Other
,,,Andris Piebalgs,Development,Friends of Europe,Juncker (2014-2019),Think tank / advisory
,,,Androulla Vassiliou,"Education, culture, multilingualism and youth","Friends of Europe, Bank of Cyprus Oncologic Center",Other/Earlier,Finance / corporate
,,,Dacian Cioloş,Agriculture and rural development,Brainstorming organised by the World Bank,Other/Earlier,Finance / corporate
21 January 2015,2015.0,,José Manuel Barroso,President,"4 academic activities, 1 honorary activity",Juncker (2014-2019),Other
,,,Jacek Dominik,Financial programming and budget,Counsellor General at the Polish Ministry of Finance,Other/Earlier,Finance / corporate
13 January 2015,2015.0,,Andris Piebalgs,Development,Advisor to the Latvian President,Juncker (2014-2019),Other
,,,Maria Damanaki,Fisheries and maritime affairs,The Nature Conservancy,Other/Earlier,Other
16 December 2014,2014.0,,José Manuel Barroso,President,"Institute of Public Policy (Belgrade), Europaeum, Bilderberg Conferences, McDonough School of Business, UEFA Foundation for Children",Juncker (2014-2019),Academia
,,,Viviane Reding,"Justice, Fundamental Rights, Citizenship","Speaking engagements, UEFA Fondation UEFA pour l'Enfance",Juncker (2014-2019),Consultancy / lobbying
,,,Neelie Kroes,Digital agenda,Special envoy for start-Up companies,Other/Earlier,Other
,,,Connie Hedegaard,Climate action,"Kann Foundation, Public Service Committee (Danish Ministry of Culture), Regions 20, OECD Round Table for Sustainable Development, 1 academic activity",Other/Earlier,Int'l organisation
,,,László Andor,"Employment, social affairs and inclusion","Friends of Europe, European Policy Center, RAND Europe, Institute of Political History, DIKTIO Network, 1 academic activity, 1 research activity",Other/Earlier,Think tank / advisory
10 December 2014,2014.0,,Viviane Reding,"Justice, fundamental rights, citizenship",Agfa-Gevaert,Juncker (2014-2019),Other
,,,Janez Potocnik,Environment,"Forum for the future of agriculture, European Policy Center, UN International Resource Panel, 1-off participations in conferences",Other/Earlier,Think tank / advisory
,,,Andris Piebalgs,Development,"1 academic activity, Global Fund Europe",Juncker (2014-2019),Finance / corporate
3 December 2014,2014.0,,José Manuel Barroso,President,"Opera of Madrid, Women in Parliament, 4 honorary activities",Juncker (2014-2019),Public / political
25 November 2014,2014.0,,Algirdas Semeta,"Taxation and customs union, audit and anti-fraud",Ukraine Business Ombudsman,Other/Earlier,Other
5 November 2014,2014.0,,José Manuel Barroso,President,"Ad hoc engagement with the World Economic Forum, academic lectures, speaking arrangements",Juncker (2014-2019),Think tank / advisory
29 October 2014,2014.0,,Viviane Reding,"Justice, fundamental rights, citizenship","Fondation Bertelsmann, Nyrstar",Juncker (2014-2019),Other
,,,Ferdinando Nelli Feroci,Industry and entrepreneurship,"Istituto Affari Internazionali, Société financière SIMEST",Other/Earlier,Other
