wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q3852194,Matteo Ricci,2024-07-16,1974-07-18,Pesaro,University of Urbino || Ist.Tec Econ. Tecnologico Bramante-Genga,politician,,Democratic Party,,president of the Province of Pesaro and Urbino (2009-06-08 to 2014-06-23) || mayor of Pesaro (2014-05-30 to 2024-06-13),MATTEO RICCI
Q114363384,Matthias Ecke,2024-07-16,1983-04-12,Meerane,Charles University || Leipzig University,politician,,Social Democratic Party of Germany,,,MATTHIAS ECKE
Q125398344,Matthieu Valet,2024-07-16,1986-01-04,Lille,France's National Police College || Q62067132,politician || Commissaire de police || syndicalist,,National Rally,,spokesperson (2018-12-01 to 2023-12-01),MATTHIEU VALET
Q64073803,Maximilian Krah,2024-07-16,1977-01-28,Räckelwitz,TU Dresden || Columbia Business School || London Business School,lawyer || politician,,Alternative for Germany,,member of the German Bundestag (from 2025-03-25),MAXIMILIAN KRAH
Q6799365,Małgorzata Gosiewska,2024-07-16,1966-07-22,Gdańsk,,politician,,Law and Justice,"Order of Honour || Order of Princess Olga, 3rd class",member of the Sejm,MAŁGORZATA GOSIEWSKA
Q460676,Merja Kyllönen,2024-07-16,1977-01-25,Suomussalmi,,politician,,Left Alliance,Commander of the Order of the Lion of Finland || The medal of merit of traffic safety branch,municipal councillor in Finland || municipal councillor in Finland || Minister of Transport (2011-06-22 to 2014-04-24) || Finnish Minister of Transport and Communications (2011-06-22 to 2014-04-04) || member of the Parliament of Finland (from 2019-04-17) || member of the Parliament of Finland,MERJA KYLLÖNEN
Q63979256,Michael Bloss,2024-07-16,1986-11-06,Stuttgart,,politician,,Alliance '90/The Greens,,,MICHAEL BLOSS
Q85537,Michael Gahler,2024-07-16,1960-04-22,Frankfurt,"Friedrich-Dessauer-Gymnasium, Frankfurt",lawyer || politician,,Christian Democratic Union,,,MICHAEL GAHLER
Q105021,Michael Kauch,2024-01-01,1967-05-04,Dortmund,Technical University of Dortmund,politician,,Free Democratic Party,,member of the German Bundestag (2003-06-14 to 2005-10-18) || member of the German Bundestag (2009-10-27 to 2013-10-22) || member of the German Bundestag (2005-10-18 to 2009-10-27),MICHAEL KAUCH
Q6832776,Michael McNamara,2024-07-16,1974-03-01,Scarriff,University College Cork,politician || barrister,,Labour Party || Independent politician (Ireland),,Teachta Dála (2011-03-09 to 2015-05-29) || Teachta Dála (2020-02-08 to 2024-07-15) || Teachta Dála (2015-09-16 to 2016-02-03) || Teachta Dála (2015-05-30 to 2015-09-15) || substitute member of the Parliamentary Assembly of the Council of Europe (2011-10-03 to 2012-01-23) || Representative of the Parliamentary Assembly of the Council of Europe (2012-01-23 to 2016-08-27),MICHAEL MCNAMARA
Q94158261,Michael von der Schulenburg,2024-07-16,1948-10-16,Munich,,politician || diplomat,,Sahra Wagenknecht Alliance,,,MICHAEL VON DER SCHULENBURG
Q62667366,Michal Wiezik,2024-07-16,1979-06-14,Martin,Technical University in Zvolen,scientist || politician,,Progressive Slovakia || Democrats,,,MICHAL WIEZIK
Q107355967,Michalis Catzipantela,2024-07-16,1974-06-20,Peristeronopigi,Queen Mary University of London || University of West London,politician || chartered accountant,,,,Cyprus Minister of Health (2021-07-02 to 2023-02-28),MICHALIS CATZIPANTELA
Q11778888,Michał Kobosko,2024-07-16,1968-04-15,Warsaw,SWPS University,politician || journalist || political activist,Newsweek Polska || Gazeta Wyborcza || RMF FM || Atlantic Council || Dziennik Polska-Europa-Świat || Wprost || Puls Biznesu || Dziennik Gazeta Prawna || Forbes,Poland 2050,,,MICHAŁ KOBOSKO
Q570288,Michał Szczerba,2024-07-16,1977-12-14,Warsaw,"Faculty of Philosophy and Sociology, University of Warsaw || XXX Liceum Ogólnokształcące im. Jana Śniadeckiego w Warszawie",politician,,Civic Platform || Solidarity Electoral Action || Conservative People's Party,Order of Honour,member of the Sejm (2007-01-01 to 2019-01-01),MICHAŁ SZCZERBA
Q125967771,Michał Wawrykiewicz,2024-07-16,1971-05-11,Warsaw,University of Warsaw,lawyer || politician,,,European Citizens' Prize || Nagroda Newsweeka im. Teresy Torańskiej || Anna Laszuk Award granted by Radio TOK FM,,MICHAŁ WAWRYKIEWICZ
Q127277642,Michele Picaro,2024-07-16,1981-05-15,Bari,,politician,,,,,MICHELE PICARO
Q136904540,Mieke Andriese,2025-11-20,,,,politician,,,,,MIEKE ANDRIESE
