Person,Category,Institution,Field of Study,Degree,Source Type,Source Name,Evidence Quote
Joaquín Almunia,commissioner,Jesuit School Of Indautxu,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Almunia attended the Jesuit School of Indautxu in Bilbao.
Joaquín Almunia,commissioner,University Of Alcalá De Henares,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He was an associate lecturer on employment and social security law at the University of Alcalá de Henares from 1991 to 1994.
Joaquín Almunia,commissioner,University Of Cambridge,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He is an Honorary Fellow of St Edmund's College, Cambridge."
Joaquín Almunia,commissioner,University Of Deusto,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He graduated with degrees in economics and law in 1971 and 1972, respectively, from the also Jesuit University of Deusto in Bilbao, and completed follow-up studies at the École pratique des hautes études in Paris, from 1970 to 1971."
Joaquín Almunia,commissioner,École Pratique Des Hautes Études,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He graduated with degrees in economics and law in 1971 and 1972, respectively, from the also Jesuit University of Deusto in Bilbao, and completed follow-up studies at the École pratique des hautes études in Paris, from 1970 to 1971."
Joe Borg,commissioner,Royal University Of Malta,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He graduated Doctor of Laws in Malta in 1975 and Master of Laws in Wales in 1988.
Joe Borg,commissioner,University Of Wales,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He graduated Doctor of Laws in Malta in 1975 and Master of Laws in Wales in 1988.
Johannes Hahn,commissioner,University Of Vienna,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Hahn graduated with a doctorate in philosophy from the University of Vienna in 1987.
John Dalli,commissioner,Benjamin N. Cardozo School Of Law,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Benjamin N. Cardozo School of Law
Jonathan Hill,commissioner,Architectural Association School Of Architecture,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Jonathan Hill received a Diploma from the Architectural Association School of Architecture in 1983
