Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Céline Imart,France,,LR,EPP,,16 July 2024,
Christophe Gomart,France,,LR,EPP,,16 July 2024,
Isabelle Le Callennec,France,,LR,EPP,,16 July 2024,
Laurent Castillo,France,,LR,EPP,,16 July 2024,
Nadine Morano,France,,LR,EPP,,1 July 2014,
Marie Toussaint,France,,LÉ,Greens/EFA,,2 July 2019,
David Cormand,France,,LÉ,Greens/EFA,,2 July 2019,
Mélissa Camara,France,,LÉ,Greens/EFA,,16 July 2024,
Mounir Satouri,France,,LÉ,Greens/EFA,,2 July 2019,
Majdouline Sbaï,France,,LÉ,Greens/EFA,,16 July 2024,
Marion Maréchal,France,,REC,ECR,,16 July 2024,
Guillaume Peltier,France,,REC,ECR,,16 July 2024,
Sarah Knafo,France,,REC,Europe of Sovereign Nations,,16 July 2024,
Nicolas Bay,France,,REC,ECR,,1 July 2014,
Laurence Trochu,France,,MC,ECR,,16 July 2024,
Hildegard Bentele,Germany,,CDU/CSU,EPP,,2 July 2019,
Stefan Berger,Germany,,CDU/CSU,EPP,,2 July 2019,
Daniel Caspary,Germany,,CDU/CSU,EPP,,20 July 2004,28 February 2026
Lena Düpont,Germany,,CDU/CSU,EPP,,2 July 2019,
Christian Ehler,Germany,,CDU/CSU,EPP,,20 July 2004,
Michael Gahler,Germany,,CDU/CSU,EPP,,20 July 1999,
Jens Gieseke,Germany,,CDU/CSU,EPP,,1 July 2014,
Niclas Herbst,Germany,,CDU/CSU,EPP,,2 July 2019,
Peter Liese,Germany,,CDU/CSU,EPP,,19 July 1994,
Norbert Lins,Germany,,CDU/CSU,EPP,,1 July 2014,
David McAllister,Germany,,CDU/CSU,EPP,,1 July 2014,
Alexandra Mehnert,Germany,,CDU/CSU,EPP,,16 July 2024,
Verena Mertens,Germany,,CDU/CSU,EPP,,16 July 2024,
Dennis Radtke,Germany,,CDU/CSU,EPP,,24 July 2017,
Oliver Schenk,Germany,,CDU/CSU,EPP,,24 July 2017,
Christine Schneider,Germany,,CDU/CSU,EPP,,2 July 2019,
Andreas Schwab,Germany,,CDU/CSU,EPP,,20 July 2004,
Ralf Seekatz,Germany,,CDU/CSU,EPP,,2 July 2019,
Sven Simon,Germany,,CDU/CSU,EPP,,2 July 2019,
Sabine Verheyen,Germany,,CDU/CSU,EPP,,14 July 2009,
Axel Voss,Germany,,CDU/CSU,EPP,,14 July 2009,
Marion Walsmann,Germany,,CDU/CSU,EPP,,2 July 2019,
Andrea Wechsler,Germany,,CDU/CSU,EPP,,16 July 2024,
Christian Doleschal,Germany,,CDU/CSU,EPP,,2 July 2019,
Markus Ferber,Germany,,CDU/CSU,EPP,,19 July 1994,
Monika Hohlmeier,Germany,,CDU/CSU,EPP,,14 July 2009,
Stefan Köhler,Germany,,CDU/CSU,EPP,,16 July 2024,
Angelika Niebler,Germany,,CDU/CSU,EPP,,20 July 1999,
Manfred Weber,Germany,,CDU/CSU,EPP,,20 July 2004,
Christine Anderson,Germany,,AfD,Europe of Sovereign Nations,,2 July 2019,
Anja Arndt,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
René Aust,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Arno Bausemer,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Irmhild Boßdorf,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Markus Buchheit,Germany,,AfD,Europe of Sovereign Nations,,2 July 2019,
