Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Johan Van Overtveldt,Belgium,Dutch-speaking,N-VA,ECR,Q15651402,2024-07-16,1955-08-24,Mortsel,University of Antwerp,politician || economist || university teacher || journalist,University of Antwerp,New Flemish Alliance,,Minister of Finance of Belgium (2014-10-11 to 2018-12-09)
Assita Kanko,Belgium,Dutch-speaking,N-VA,ECR,Q19760666,2024-07-16,1980-07-14,Godyr,University Joseph Ki-Zerbo || Solvay Brussels School of Economics and Management,politician,,New Flemish Alliance,,
Kris Van Dijck,Belgium,Dutch-speaking,N-VA,ECR,Q2012761,2024-07-16,1963-10-02,Turnhout,,politician,,New Flemish Alliance || People's Union,,member of the Flemish Parliament (from 2019-06-18) || Mayor of Dessel (from 2007-01-01) || Speaker of the Flemish Parliament (2019-06-18 to 2019-07-11) || member of the Flemish Parliament (2009-06-30 to 2014-05-24) || member of the Flemish Parliament (1999-07-06 to 2004-06-12) || Mayor of Dessel (1995-01-01 to 2000-12-31) || member of the Flemish Parliament (1995-06-13 to 1999-06-12) || member of the Flemish Parliament (2014-06-17 to 2019-05-25) || member of the Flemish Parliament (2004-07-06 to 2009-06-06)
Elio Di Rupo,Belgium,French-speaking,PS,S&D,Q15048,2024-07-16,1951-07-18,Morlanwelz,University of Mons || University of Mons-Hainaut,politician || chemist,,Socialist Party,Minister of State || Knight of the Order of Leopold || Knight Grand Cross of the Order of Leopold II,Minister-President of Wallonia (1999-07-15 to 2000-04-04) || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || Prime Minister of Belgium (2011-12-06 to 2014-10-11) || member of the Chamber of Representatives of Belgium || Senator of Belgium (1991-11-24 to 1995-05-21) || Minister of Mobility (1994-01-23 to 1995-06-23) || Minister-President of Wallonia (2019-09-13 to 2024-07-14) || Mayor of Mons (2000-10-08 to 2018-12-03) || Minister-President of Wallonia (2005-10-06 to 2007-07-20)
Estelle Ceulemans,Belgium,French-speaking,PS,S&D,Q126490469,2024-07-16,1970-02-12,Rocourt,,politician || trade unionist,,,,
Wouter Beke,Belgium,Dutch-speaking,CD&V,EPP,Q961911,2024-07-16,1974-08-09,Lommel,Vrije Universiteit Brussel || Katholieke Universiteit Leuven,politician || political scientist,,Christian Democratic and Flemish,Officer of the Order of Leopold,member of the Chamber of Representatives of Belgium (2014-06-19 to 2019-06-20) || member of the Chamber of Representatives of Belgium (2019-06-20 to 2019-10-17) || member of the Chamber of Representatives of Belgium (from 2022-05-16) || Senator of Belgium (2004-07-22 to 2014-04-24) || Mayor of Leopoldsburg (2013-01-01 to 2024-12-04)
Liesbet Sommen,Belgium,Dutch-speaking,CD&V,EPP,Q125919027,2024-07-16,1984-04-13,Turnhout,,politician,,,,
Bruno Tobback,Belgium,Dutch-speaking,Vooruit,S&D,Q960356,2024-07-16,1969-08-22,Leuven,Vrije Universiteit Brussel || Ghent University,politician,,Vooruit,,member of the Flemish Parliament (1999-07-06 to 2001-10-14) || member of the Flemish Parliament (1995-06-13 to 1999-06-12) || member of the Flemish Parliament (2001-10-15 to 2004-06-12) || substitute member of the Parliamentary Assembly of the Council of Europe (2007-11-23 to 2009-09-28) || member of the Flemish Parliament (2019-06-18 to 2021-03-21) || member of the Chamber of Representatives of Belgium (2007-06-10 to 2010-06-12) || member of the Flemish Parliament (2014-06-17 to 2019-05-25) || member of the Flemish Parliament (2004-07-06 to 2004-07-17) || member of the Flemish Parliament (from 2021-03-21) || member of the Chamber of Representatives of Belgium (2010-06-13 to 2014-05-24) || Minister of Pensions (2004-07-18 to 2007-12-21)
Kathleen Van Brempt,Belgium,Dutch-speaking,Vooruit,S&D,Q15995,2024-07-16,1969-11-18,Wilrijk,Katholieke Universiteit Leuven,politician,,Vooruit,,member of the Flemish Parliament
Sara Matthieu,Belgium,Dutch-speaking,Groen,Greens/EFA,Q99769691,2024-07-16,1981-05-21,Aalst,Ghent University,politician,,Groen,,
Rudi Kennes,Belgium,Dutch-speaking,PVDA-PTB,The Left,Q108788753,2024-07-16,1959-07-22,Niel,,politician || syndicalist,,,,
Marc Botenga,Belgium,French-speaking,PVDA-PTB,The Left,Q64441604,2024-07-16,1980-12-29,Brussels,IMT School for Advanced Studies Lucca,politician,,Workers' Party of Belgium,,
Hilde Vautmans,Belgium,Dutch-speaking,Open Vld,Renew Europe,Q2780443,2024-07-16,1972-05-02,Sint-Truiden,,politician,,Anders,,member of the Chamber of Representatives of Belgium (2003-06-05 to 2007-05-02) || member of the Chamber of Representatives of Belgium (2007-06-28 to 2010-05-07)
Yvan Verougstraete,Belgium,French-speaking,LE,Renew Europe,Q124218598,2024-07-16,1975-10-06,Ixelles,,Member of the European Parliament || politician,,,,
Saskia Bricmont,Belgium,French-speaking,Ecolo,Greens/EFA,Q64085484,2024-07-16,1985-03-16,Tournai,Université libre de Bruxelles || Institute for European Studies Brussels (ULB) || Free University of Brussels,politician,,Ecolo,,
Pascal Arimont,Belgium,German-speaking,CSP,EPP,Q1614514,2024-07-16,1974-09-25,Malmedy,UCLouvain,lawyer || politician,,Christlich Soziale Partei,,
Iliya Lazarov,Bulgaria,,GERB–SDS,EPP,Q19204896,2024-07-16,1965-09-19,Sofia,,businessperson || politician,,,,member of the Bulgarian National Assembly (2021-04-15 to 2021-05-11)
Andrey Kovatchev,Bulgaria,,GERB–SDS,EPP,Q4759190,2024-07-16,1967-12-13,Sofia,Saarland University,politician,,Citizens for European Development of Bulgaria,,
Andrey Novakov,Bulgaria,,GERB–SDS,EPP,Q18575732,2024-07-16,1988-07-07,Pazardzhik,"South-West University ""Neofit Rilski""",politician,,Citizens for European Development of Bulgaria,,
Emil Radev,Bulgaria,,GERB–SDS,EPP,Q17143079,2024-07-16,1971-05-26,Varna,Varna Free University || University of Economics - Varna,lawyer || politician,,Citizens for European Development of Bulgaria,,member of the Bulgarian National Assembly (2013-05-21 to 2014-06-19) || member of the Bulgarian National Assembly (2009-07-14 to 2013-03-14)
Eva Maydell,Bulgaria,,GERB–SDS,EPP,Q17266811,2024-07-16,1986-01-26,Sofia,John Cabot University,politician,,Citizens for European Development of Bulgaria,,president (2017-01-01 to 2023-01-01)
Ilhan Kyuchyuk,Bulgaria,,DPS,Renew Europe,,,,,,,,,,
Taner Kabilov,Bulgaria,,DPS,Renew Europe,Q126683791,2024-07-16,1987-04-28,Plovdiv,,politician,,,,
Elena Yoncheva,Bulgaria,,DPS,Renew Europe,Q3740539,2024-07-16,1964-05-27,Sofia,Lomonosov Moscow State University,politician || journalist || film director || film producer || film screenwriter,,Bulgarian Socialist Party,,member of the Bulgarian National Assembly (2017-04-19 to 2019-06-21)
Nikola Minchev,Bulgaria,,PP–DB,Renew Europe,Q109918947,2024-07-16,1987-09-13,Pernik,"91 German Language School ""Prof.. Konstantin Gylybov "" || Faculty of Law of Sofia University",lawyer || politician,,We Continue the Change,,Chairperson of the National Assembly of Bulgaria (2021-12-03 to 2022-06-16) || member of the Bulgarian National Assembly (2023-04-12 to 2024-06-19) || member of the Bulgarian National Assembly (2021-12-03 to 2022-08-01) || member of the Bulgarian National Assembly (2022-10-19 to 2023-02-02)
Hristo Petrov,Bulgaria,,PP–DB,Renew Europe,Q12281964,2024-07-16,1979-12-19,Sofia,National High School of Ancient Languages and Cultures,politician || singer || musician,,,,member of the Bulgarian National Assembly (2023-04-12 to 2024-06-19) || member of the Bulgarian National Assembly (2022-10-19 to 2023-02-02) || member of the Bulgarian National Assembly (2021-12-03 to 2022-08-01)
Radan Kanev,Bulgaria,,PP–DB,EPP,Q16684166,2024-07-16,1975-09-30,Sofia,Sofia University || Alphonse-de-Lamartine High School,lawyer || politician,,Democrats for a Strong Bulgaria,,member of the Bulgarian National Assembly (2014-10-27 to 2017-01-26)
Stanislav Stoyanov,Bulgaria,,Revival,Europe of Sovereign Nations,Q115139975,2024-07-16,1981-04-05,Varna,,politician,,,,member of the Bulgarian National Assembly (2023-04-12 to 2024-06-19) || member of the Bulgarian National Assembly (2022-10-19 to 2023-02-02)
Petar Volgin,Bulgaria,,Revival,Europe of Sovereign Nations,,,,,,,,,,
Rada Laykova,Bulgaria,,Revival,Europe of Sovereign Nations,Q127599333,2024-07-16,1990-04-03,Plovdiv,,politician,,Revival || Europe of Sovereign Nations Group,,
Kristian Vigenin,Bulgaria,,BSPzB,S&D,Q946742,2024-07-16,1975-06-12,Sofia,University of National and World Economy,politician,,Bulgarian Socialist Party,,member of the Bulgarian National Assembly (2021-04-15 to 2021-05-11) || Minister of Foreign Affairs (2013-05-29 to 2014-08-06) || member of the Bulgarian National Assembly (2021-12-03 to 2022-08-01) || member of the Bulgarian National Assembly (2014-10-27 to 2017-01-26) || member of the Bulgarian National Assembly (2021-07-21 to 2021-09-15) || member of the Bulgarian National Assembly (2017-04-19 to 2021-03-26) || member of the Bulgarian National Assembly (2022-10-19 to 2023-02-02) || member of the Bulgarian National Assembly (2005-07-11 to 2007-05-20) || member of the Bulgarian National Assembly (2023-04-12 to 2024-06-19)
Tsvetelina Penkova,Bulgaria,,BSPzB,S&D,Q64226233,2024-07-16,1988-02-19,Sofia,Central European University,politician,,Bulgarian Socialist Party,,
Ivaylo Valchev,Bulgaria,,ITN,ECR,,,,,,,,,,
Davor Ivo Stier,Croatia,,HDZ,EPP,Q12956737,2024-07-16,1972-01-06,Buenos Aires,Pontifical Catholic University of Argentina,politician || diplomat,,Croatian Democratic Union,,representative in the Croatian Parliament || Minister of Foreign and European Affairs (2016-10-19 to 2017-06-19) || representative in the Croatian Parliament || Representative of the Parliamentary Assembly of the Council of Europe (from 2017-10-09)
Karlo Ressler,Croatia,,HDZ,EPP,Q63348832,2024-07-16,1989-12-26,Zagreb,Faculty of Law of the University of Zagreb,politician,,Croatian Democratic Union,,
Nikolina Brnjac,Croatia,,HDZ,EPP,Q83985420,2024-07-16,1978-07-11,Karlovac,University of Zagreb,politician,,Croatian Democratic Union,,Minister of Tourism and Sport (from 2020-07-23)
Željana Zovko,Croatia,,HDZ,EPP,Q27666246,2024-07-16,1970-03-25,Mostar,University of North London,politician || diplomat,,Croatian Democratic Union of Bosnia and Herzegovina || Croatian Democratic Union,,
Sunčana Glavak,Croatia,,HDZ,EPP,Q16113442,2024-07-16,1968-12-09,Čakovec,University of Zagreb,politician,,Croatian Democratic Union,,representative in the Croatian Parliament
Tomislav Sokol,Croatia,,HDZ,EPP,Q43677404,2024-07-16,1982-09-20,Zagreb,University of Zagreb,politician,,Croatian Democratic Union,,representative in the Croatian Parliament
Biljana Borzan,Croatia,,SDP+,S&D,Q11074254,2024-07-16,1971-11-29,Osijek,"School of Medicine, University of Zagreb",physician || politician || diplomat,,Social Democratic Party of Croatia,,
Predrag Matić,Croatia,,SDP+,S&D,Q19973739,2024-07-16,1962-06-02,Požega,University of Osijek,politician,,Social Democratic Party of Croatia,,representative in the Croatian Parliament
Romana Jerković,Croatia,,SDP+,S&D,Q62990563,2024-07-16,1964-11-28,Split,University of Rijeka,physician || politician,,Social Democratic Party of Croatia,,representative in the Croatian Parliament (from 2016-10-14) || representative in the Croatian Parliament (2011-12-22 to 2015-12-28) || representative in the Croatian Parliament (2008-01-11 to 2011-12-22)
Tonino Picula,Croatia,,SDP+,S&D,Q2617559,2024-07-16,1961-08-31,Mali Lošinj,"Faculty of Humanities and Social Sciences, University of Zagreb",politician || diplomat,,Social Democratic Party of Croatia,,Minister of Foreign and European Affairs (2000-01-27 to 2003-12-22)
Marko Vešligaj,Croatia,,SDP+,S&D,Q43677472,2024-09-05,1982-04-17,Zagreb,,politician,,,,representative in the Croatian Parliament (2016-10-14 to 2020-07-22)
Stephen Bartulica,Croatia,,DP,ECR,,,,,,,,,,
Gordan Bosanac,Croatia,,Možemo!,Greens/EFA,Q126487364,2024-07-16,1973-08-18,Zagreb,,politician,,,,
Loukas Fourlas,Cyprus,,DISY,EPP,Q64223730,2024-07-16,1969-08-21,Limassol Municipality,Aristotle University of Thessaloniki,politician || television presenter || journalist,,Democratic Rally,,
Michalis Hatzipantelas,Cyprus,,DISY,EPP,,,,,,,,,,
Giorgos Georgiou,Cyprus,,AKEL,The Left,Q16329183,2024-07-16,1963-04-09,Afanteia-Ornithi,National and Kapodistrian University of Athens,politician || secondary school teacher || philologist,,Progressive Party of Working People,,member of the House of Representatives of Cyprus (2011-06-02 to 2016-06-01) || member of the House of Representatives of Cyprus (2016-06-02 to 2019-06-27)
Fidias Panayiotou,Cyprus,,IND,Non-Inscrits,Q123220692,2024-07-16,2000-04-10,Nicosia,,politician || YouTuber,,Direct Democracy Cyprus,Gold Play Button,president (from 2026-03-22)
Geadis Geadi,Cyprus,,ELAM,ECR,Q126600111,2024-07-16,1984-09-01,Nicosia,,politician,,,,
Costas Mavrides,Cyprus,,DIKO,S&D,,,,,,,,,,
Klára Dostálová,Czech Republic,,ANO,Patriots for Europe,Q25963393,2024-07-16,1971-03-13,Prague,Prague University of Economics and Business,politician || economist,,ANO 2011,Q12049790,Hradec Králové Region Assembly member (2016-10-08 to 2017-04-24) || Hradec Králové Region Assembly member (from 2020-10-03) || Minister for Regional Development (2017-12-13 to 2021-12-17) || deputy chairperson (from 2017-10-24) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2021-10-21) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (from 2021-10-09) || Hradec Králové Region Assembly member (2016-10-08 to 2017-04-24)
Jaroslav Bžoch,Czech Republic,,ANO,Patriots for Europe,Q42866260,2024-07-16,1983-11-30,Teplice,Jan Evangelista Purkyně University in Ústí nad Labem,politician || rugby league player,,Civic Democratic Party || ANO 2011,,Ústí nad Labem Region Assembly member (2016-10-08 to 2018-02-23) || substitute member of the Parliamentary Assembly of the Council of Europe (from 2018-01-22) || member of a Czech municipal council (2014-10-11 to 2018-10-06) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (from 2021-10-09) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2021-10-21)
Martin Hlaváček,Czech Republic,,ANO,Patriots for Europe,Q62085985,2024-07-16,1980-01-14,Prague,Czech University of Life Sciences Prague,politician || economist || manager,,,,deputy minister (2012-01-01 to 2012-10-31)
Ondřej Knotek,Czech Republic,,ANO,Patriots for Europe,Q64034460,2024-07-16,1984-08-31,Sušice,University of Chemistry and Technology,politician || manager,,Czech Pirate Party || ANO 2011,,member of a Czech municipal council (2014-10-11 to 2018-10-11) || executive of a Czech municipal council (2014-01-01 to 2016-01-01)
Tomáš Kubín,Czech Republic,,ANO,Patriots for Europe,Q124842262,2024-08-01,1962-07-24,Jindřichův Hradec,,politician,,ANO 2011,,member of a Czech municipal council (from 2022-09-24) || member of a Czech municipal council (1998-11-14 to 2006-10-21)
Jana Nagyová,Czech Republic,,ANO,Patriots for Europe,Q113016342,2024-07-16,1970-09-26,Kosice,University of Pardubice,politician || economist || manager,,ANO 2011,,member of a Czech municipal council (2014-10-11 to 2018-02-02) || executive of a Czech municipal council
Jaroslava Pokorná Jermanová,Czech Republic,,ANO,Patriots for Europe,Q15146515,2024-07-16,1970-08-17,Karlovy Vary,"Faculty of Economics and Management, Czech University of Life Sciences Prague || České státní reformní reálné gymnasium",politician || manager,,Civic Democratic Party || ANO 2011,,member of a Czech municipal council (from 2014-10-11) || mayor of a place in the Czech Republic (2002-01-01 to 2006-01-01) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2017-11-24) || Governor of Central Bohemian Region (2016-11-18 to 2020-11-16) || executive of a Czech municipal council (2016-01-01 to 2018-01-01) || member of a Czech municipal council (1998-11-14 to 2006-11-02) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2013-10-26 to 2017-01-03) || Central Bohemian Region Assembly member (2004-11-06 to 2008-11-06) || Central Bohemian Region Assembly member (from 2016-10-08) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (from 2021-10-09)
Jaroslav Knot,Czech Republic,,IND,Patriots for Europe,Q125985662,2025-07-31,1977-10-20,Uherské Hradiště,,politician || jurist || diplomat,,,,ambassador to Norway (2017-01-01 to 2022-01-01) || ambassador to Iceland
Ondřej Kovařík,Czech Republic,,ANO,Patriots for Europe,Q64140539,2024-07-16,1980-08-21,Kyjov,École nationale d'administration || Prague University of Economics and Business,politician || diplomat,Ministry of Defence || The Office of the Government of the Czech Republic,,,
Alexandr Vondra,Czech Republic,,SPOLU,ECR,Q939484,2024-07-16,1961-08-17,Prague,"Faculty of Science, Charles University",politician || diplomat || geographer || journalist,,Civic Democratic Party,"Democracy Service Medal || Officer's Cross of the Order of Merit of the Republic of Poland || NATO Meritorious Service Medal || Order of the Three Stars, 3rd Class || Cross of Merit of the Minister of Defence of the Czech Republic 1st Class",Czech Ambassador to the United States (1997-05-14 to 2001-10-01) || spokesperson of Charter 77 (1989-01-02 to 1990-01-06) || Minister of Foreign Affairs (2006-09-04 to 2007-01-09) || Minister of Defence of the Czech Republic (2010-12-13 to 2012-12-07) || Member of the Senate of the Parliament of the Czech Republic (2006-10-28 to 2012-10-28) || Deputy Prime Minister of the Czech Republic (2007-01-09 to 2009-05-08)
Veronika Vrecionová,Czech Republic,,SPOLU,ECR,Q11880159,2024-07-16,1965-09-08,České Budějovice,Prague University of Economics and Business,politician,,Civic Democratic Party,,mayor of a place in the Czech Republic (2006-11-07 to 2014-11-07) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2019-07-02) || member of a Czech municipal council (2006-10-21 to 2016-10-13) || member of a Czech municipal council (2018-10-06 to 2018-10-31) || Member of the Senate of the Parliament of the Czech Republic (2010-10-23 to 2016-10-23)
Ondřej Krutílek,Czech Republic,,SPOLU,ECR,Q60659215,2024-07-16,1981-04-30,Nový Jičín,,politician || political scientist,,Civic Democratic Party,,
Luděk Niedermayer,Czech Republic,,SPOLU,EPP,Q15742179,2024-07-16,1966-03-13,Brno,Masaryk University,politician || economist || bank officer,Czech National Bank || Deloitte,TOP 09,Masaryk University Gold Medal,member of the Bank Board of the Czech National Bank (1996-02-27 to 2008-02-26)
Ondřej Kolář,Czech Republic,,SPOLU,EPP,Q28767783,2024-07-16,1984-03-13,Prague,"Faculty of Social Sciences, Charles University || Faculty of Law, University of West Bohemia",lawyer || politician,,TOP 09,,Member of the Chamber of Deputies of the Parliament of the Czech Republic (2021-10-09 to 2024-06-14) || mayor of a city district in the Czech Republic (2014-11-21 to 2022-10-24) || district representative in Czechia (2014-10-11 to 2023-11-06)
Tomáš Zdechovský,Czech Republic,,SPOLU,EPP,Q12059351,2024-07-16,1979-11-02,Havlíčkův Brod,Salesian Pontifical University || Masaryk University || University of South Bohemia in České Budějovice,writer || poet || politician || journalist,,KDU-ČSL,Officer of the Order of Ouissam Alaouite,
Nikola Bartůšek,Czech Republic,,PaM,Patriots for Europe,Q125985612,2024-07-16,1985-05-11,České Budějovice,,teacher || politician || sociologist,,Oath,,
Antonín Staněk,Czech Republic,,PaM,Patriots for Europe,Q18564390,2025-10-04,1966-03-02,Olomouc,Pedagogická fakulta Univerzity Palackého,teacher || politician || pedagogue || local politician,,Social Democracy || Oath,,Mayor of Olomouc (2014-11-10 to 2018-11-05) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2021-10-21) || member of a Czech municipal council (2010-10-16 to 2018-10-06) || Minister of Culture of the Czech Republic (2018-06-27 to 2019-07-31)
Kateřina Konečná,Czech Republic,,Stačilo!(KSČM),Non-Inscrits,Q12028942,2024-07-16,1981-01-20,Nový Jičín,University of Finance and Administration || Masaryk University Faculty of Law || Masaryk University Faculty of Economics and Administration,politician,,Communist Party of Bohemia and Moravia,,Member of the Chamber of Deputies of the Parliament of the Czech Republic (2002-06-15 to 2006-06-15) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2006-06-03 to 2010-06-03) || member of a Czech municipal council (from 2010-10-16) || Representative of the Parliamentary Assembly of the Council of Europe (2014-01-27 to 2014-09-24) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2013-10-26 to 2014-07-01) || Representative of the Parliamentary Assembly of the Council of Europe (2007-01-22 to 2010-10-04) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2010-05-29 to 2013-08-28) || substitute member of the Parliamentary Assembly of the Council of Europe (2004-10-04 to 2007-01-22) || substitute member of the Parliamentary Assembly of the Council of Europe (2010-10-04 to 2014-01-27) || party leader (from 2021-10-23)
Ondřej Dostál,Czech Republic,,Stačilo!(SD-SN),Non-Inscrits,Q108731355,2024-07-16,1979-01-25,,"Faculty of Law, Charles University in Prague",politician || jurist || university teacher,,Stačilo!,Lawyer of the Year,
Danuše Nerudová,Czech Republic,,STAN,EPP,Q42307539,2024-07-16,1979-01-04,Brno,Mendel University in Brno,politician || economist || university teacher,"Mendel University in Brno || Faculty of Agronomy, Mendel University in Brno",Mayors and Independents,,rector (2018-01-01 to 2022-03-31)
Jan Farský,Czech Republic,,STAN,EPP,Q12022507,2024-07-16,1979-07-11,Turnov,Masaryk University Faculty of Law,lawyer || politician,,Mayors and Independents || Mayors for the Liberec Region,,Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2021-10-26) || member of a Czech municipal council (from 2021-04-02) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2010-05-29 to 2013-08-28) || member of a Czech municipal council (2002-11-02 to 2018-10-11) || party leader (2008-06-03 to 2009-11-14) || mayor of a place in the Czech Republic (2006-11-02 to 2014-11-07) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2013-10-26 to 2017-10-26) || chairperson (from 2017-10-23) || executive of a Czech municipal council (2015-01-01 to 2018-01-01) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2021-10-09 to 2022-02-15)
Markéta Gregorová,Czech Republic,,Piráti,Greens/EFA,Q60552203,2024-07-16,1993-01-14,Most,Masaryk University,politician,,Czech Pirate Party,,member of the municipal council of Brno (from 2018-10-06)
Ivan David,Czech Republic,,SPD–T,Europe of Sovereign Nations,Q6096116,2024-07-16,1952-09-24,Prague,Charles University,physician || politician || psychiatrist,,Freedom and Direct Democracy,,Member of the Chamber of Deputies of the Parliament of the Czech Republic (1998-06-20 to 2002-06-20) || Minister of Health of the Czech Republic (1998-07-22 to 1999-12-09)
Kira Peter-Hansen,Denmark,,F,Greens/EFA,,,,,,,,,,
Villy Søvndal,Denmark,,F,Greens/EFA,Q58119,2024-07-16,1952-04-04,Linde,Vestbirk Højskole,politician || diplomat,,Green Left,Ting Prize,member of the Folketing || member of the Folketing || member of the Folketing (from 1994-08-01) || member of the Folketing || member of the Folketing || Minister of Foreign Affairs of Denmark (2011-10-03 to 2013-12-12) || member of the Folketing || member of the Folketing
Rasmus Nordqvist,Denmark,,F,Greens/EFA,Q20197692,2024-07-16,1975-07-18,Charlottenlund,Danish Design School,politician,,Green Left || The Alternative,,member of the Folketing (from 2015-06-18) || member of the Folketing (from 2020-05-13) || member of the Folketing (2019-06-05 to 2020-03-09) || substitute member of the Parliamentary Assembly of the Council of Europe (2018-01-22 to 2018-03-15) || member of the Folketing (2020-03-10 to 2020-05-12) || substitute member of the Parliamentary Assembly of the Council of Europe (2015-09-28 to 2016-10-09)
Christel Schaldemose,Denmark,,A,S&D,Q455548,2024-07-16,1967-08-04,Odense,University of Southern Denmark,politician || historian,,Social Democrats,,
Niels Fuglsang,Denmark,,A,S&D,Q64078250,2024-07-16,1985-06-29,Copenhagen,University of Copenhagen,politician,,Social Democrats,,
Marianne Vind,Denmark,,A,S&D,Q64876326,2024-07-16,1970-12-03,Køge,Roskilde University,politician || trade unionist,HK Danmark,Social Democrats,,
Morten Løkkegaard,Denmark,,V,Renew Europe,Q546215,2024-07-16,1964-12-20,Helsingør,Danish School of Journalism,politician || journalist || communications adviser,,Venstre,,substitute member of the Parliamentary Assembly of the Council of Europe (2015-09-28 to 2016-04-17) || member of the Folketing
Asger Christensen,Denmark,,V,Renew Europe,Q64076211,2024-07-16,1958-01-08,Denmark,,politician || farmer,,Venstre,,
Niels Flemming Hansen,Denmark,,C,EPP,Q64427892,2024-07-16,1974-05-16,Vejle,,businessperson || politician,,Conservative People's Party,,member of the Folketing || member of the Folketing
Kristoffer Hjort Storm,Denmark,,Æ,ECR,Q125589692,2024-07-16,1989-01-26,Hillerød,Aalborg University,politician,,Denmark Democrats - Inger Støjberg,,
Sigrid Friis,Denmark,,B,Renew Europe,,,,,,,,,,
Per Clausen,Denmark,,Ø,The Left,Q12331300,2024-07-16,1955-02-20,Kongsvinger,Aalborg University,politician || trade unionist,,Red–Green Alliance,,member of the Folketing || member of the Folketing || member of the Folketing
Henrik Dahl,Denmark,,I,EPP,Q12316339,2024-07-16,1960-02-20,Aarhus,University of Pennsylvania || University of Copenhagen || Copenhagen Business School || Ribe Katedralskole,politician || entrepreneur || author || university teacher || sociologist,,Liberal Alliance,Rosenkjær Award || Columbus-Prisen,member of the Folketing || substitute member of the Parliamentary Assembly of the Council of Europe (from 2018-11-23) || member of the Folketing || member of the Folketing
Anders Vistisen,Denmark,,O,Patriots for Europe,Q12301466,2024-07-16,1987-11-12,Viborg Municipality,Aarhus University,politician || lobbyist,,Danish People's Party,,member of the Folketing
Stine Bosse,Denmark,,M,Renew Europe,Q5495887,2024-07-16,1960-12-21,Virum,University of Copenhagen,businessperson || politician,Tryg,Moderate Party,Veuve Clicquot Business Woman of the Year || Cross of the Order of Merit of the Federal Republic of Germany || Knight of the Order of the Dannebrog,board member || president || board member || director
Riho Terras,Estonia,,Isamaa,EPP,Q2738322,2024-07-16,1967-04-17,Kohtla-Järve,University of Tartu || University of the Bundeswehr Munich || Jõhvi Downtown School,military personnel || politician || sportsperson,,Isamaa,Order of Merit of the Federal Republic of Germany || Order of Merit of the Republic of Poland || Royal Norwegian Order of Merit || Order of the Cross of the Eagle || Officer of the Legion of Honour || Grand Cross 1st class of the Order of Merit of the Federal Republic of Germany || Commander of the Cross of the Order of Merit of the Republic of Poland || Grand Cross of the Order of the Lion of Finland || 1st Class of the Order of the Cross of the Eagle,Commander of the Estonian Defence Forces (2011-12-05 to 2018-12-05)
Jüri Ratas,Estonia,,Isamaa,EPP,Q2621730,2024-07-16,1978-07-02,Tallinn,University of Tartu || Tallinn University of Technology || Tallinn Nõmme Upper Secondary School,politician || basketball player,,Isamaa || Estonian Centre Party,"Knight Grand Cross of the Order of Merit of the Italian Republic || Grand Cross of the Order of the Star of Romania || Grand Cross of the Order of Orange-Nassau || Order of the Three Stars, 2nd Class || Order of the National Coat of Arms, 2nd Class || Order of Prince Yaroslav the Wise, 2nd class",member of the Riigikogu (from 2021-01-26) || member of the Riigikogu (2011-03-27 to 2015-03-23) || member of the Riigikogu (2015-03-30 to 2016-11-23) || President of the Riigikogu (2021-03-18 to 2023-04-10) || Prime Minister of Estonia (2016-11-23 to 2021-01-13) || member of the Riigikogu (2019-04-04 to 2019-04-29) || mayor of Tallinn (2005-11-15 to 2007-04-05) || member of the Riigikogu (from 2007-03-27)
Marina Kaljurand,Estonia,,SDE,S&D,Q439111,2024-07-16,1962-09-06,Tallinn,Tufts University || University of Tartu || The Fletcher School of Law and Diplomacy || Tallinn English College || Estonian School of Diplomacy,lawyer || politician || diplomat || badminton player,Tallinn University of Technology,Social Democratic Party,"Women of the Year || Order of the National Coat of Arms, 3rd Class || Order of the White Star, 3rd Class || national champion",member of the Riigikogu (2019-04-04 to 2019-06-12) || ambassador of Estonia to the United States (2011-09-01 to 2014-08-01) || Ambassador of Estonia to Israel (2004-01-01 to 2006-01-01) || ambassador of Estonia to Russia (2005-01-01 to 2008-01-01) || Minister of Foreign Affairs (2015-07-16 to 2016-09-12)
