Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Dan Nica,Romania,,PSD–PNL,S&D,Q5214099,2024-07-16,1960-07-02,Panciu,Gheorghe Asachi Technical University of Iași,engineer || politician,,Social Democratic Party,Order of the Star of Romania,member of the Chamber of Deputies of Romania (2008-12-12 to 2012-12-10) || member of the Chamber of Deputies of Romania (2004-01-01 to 2008-01-01) || Minister of Communications and Information Society (2012-05-07 to 2014-02-25) || member of the Chamber of Deputies of Romania (1996-01-01 to 2000-01-01) || member of the Chamber of Deputies of Romania (2000-01-01 to 2004-01-01) || Minister of Internal Affairs (2009-01-13 to 2009-01-20) || member of the Chamber of Deputies of Romania (2012-01-01 to 2014-06-23) || Minister of Internal Affairs (2009-02-02 to 2009-10-01)
Gheorghe Falcă,Romania,,PSD–PNL,EPP,Q5556322,2024-07-16,1967-01-22,Brad,Politehnica University of Timișoara,engineer || politician,,National Liberal Party,,mayor of Arad (2004-06-06 to 2019-07-02)
Ștefan Mușoiu,Romania,,PSD–PNL,S&D,Q28085796,2024-07-16,1975-06-16,Colelia,,politician,,Social Democratic Party,,member of the Chamber of Deputies of Romania (2016-12-20 to 2020-12-19) || member of the Chamber of Deputies of Romania (from 2020-12-21)
Roxana Mînzatu,Romania,,PSD–PNL,S&D,Q28039595,2024-07-16,1980-04-01,Brașov,University of Bucharest || Dimitrie Cantemir Christian University,politician || trainer,,Social Democratic Party,,"member of the Chamber of Deputies of Romania (2016-12-20 to 2020-12-19) || Minister of European Investments and Projects (2019-06-07 to 2019-11-04) || European Commissioner for Employment, Social Affairs and Inclusion (from 2024-12-01) || vice-president of the European Commission (from 2024-12-01)"
Andi Cristea,Romania,,PSD–PNL,S&D,,,,,,,,,,
Virgil-Daniel Popescu,Romania,,PSD–PNL,EPP,,,,,,,,,,
Cristian Terheș,Romania,,AUR+,ECR,Q63413116,2024-07-16,1978-12-04,Zalău,,priest || politician,,Christian-Democratic National Peasants' Party || Social Democratic Party || Romanian National Conservative Party,,
Claudiu Târziu,Romania,,AUR+,ECR,Q104070010,2024-07-16,1973-02-20,Bacău,Mihai Eminescu University,politician || journalist || publisher,,Alliance for the Union of Romanians,,deputy chairperson (from 2022-03-27) || member of the Senate of Romania (from 2020-12-21)
Gheorghe Piperea,Romania,,AUR+,ECR,Q12729203,2024-07-16,1970-03-01,Singureni,,lawyer || politician,,Alliance for the Union of Romanians,,
Georgiana Teodorescu,Romania,,AUR+,ECR,Q127510648,2024-07-16,1985-08-19,Iași,,politician || jurist,,,,
Adrian-George Axinia,Romania,,AUR+,ECR,,,,,,,,,,
Șerban-Dimitrie Sturdza,Romania,,AUR+,ECR,Q127599334,2024-07-16,1967-03-30,Bucharest,,politician,,,,
Dan Barna,Romania,,ADU,Renew Europe,Q28113900,2024-07-16,1975-07-10,Sibiu,University of Bucharest || Politehnica University of Bucharest,lawyer || politician || formateur,,Save Romania Union,,member of the Chamber of Deputies of Romania (2016-12-21 to 2020-12-18) || deputy chairperson (2022-07-10 to 2024-06-26) || party leader (2017-10-28 to 2021-10-01) || Deputy Prime-Minister of Romania (2020-12-23 to 2021-09-07) || member of the Chamber of Deputies of Romania (from 2020-12-21) || deputy chairperson (from 2023-05-28)
Vlad Voiculescu,Romania,,ADU,Renew Europe,Q24174632,2024-07-16,1983-09-06,Brănești,Vienna University of Economics and Business,politician || economist,,Save Romania Union,,Minister of Health of Romania (2016-05-20 to 2017-01-04) || Minister of Health of Romania (2020-12-23 to 2021-04-14) || Member of the General Council of Bucharest (2020-10-01 to 2020-12-01)
Eugen Tomac,Romania,,ADU,Renew Europe,Q15967888,2024-07-16,1981-06-27,Ozerne,University of Bucharest,politician || historian || journalist,,European People's Party || Democratic Liberal Party || People's Movement Party,,chairperson (from 2022-02-19) || member of the Chamber of Deputies of Romania (2016-12-20 to 2019-06-20) || chairperson (2015-01-01 to 2020-12-09) || member of the Chamber of Deputies of Romania (2012-12-19 to 2016-12-19)
Iuliu Winkler,Romania,,UDMR,EPP,Q520490,2024-07-16,1964-03-14,Hunedoara,Politehnica University of Timișoara,engineer || politician,,Democratic Union of Hungarians in Romania,,Minister of Communications and Information Society (2007-07-30 to 2007-12-01) || member of the Chamber of Deputies of Romania (2000-01-01 to 2004-01-01)
Lóránt Vincze,Romania,,UDMR,EPP,,,,,,,,,,
Diana Șoșoacă,Romania,,SOS RO,Non-Inscrits,Q104381399,2024-07-16,1975-11-13,Bucharest,Romanian-American University,lawyer || politician,,S.O.S. Romania Party,Order of the State of Palestine,member of the Senate of Romania (from 2020-12-21)
Luis Lazarus,Romania,,SOS RO,Non-Inscrits,Q126811559,2024-07-16,1967-03-12,Drobeta-Turnu Severin,,politician || television personality,,S.O.S. Romania Party,,
Nicolae Ștefănuță,Romania,,IND,Greens/EFA,Q64280455,2024-07-16,1982-01-03,Rășinari,Georgetown University,Member of the European Parliament || politician,,independent politician || Democratic Liberal Party || Democratic Party || Save Romania Union,,Vice President of the European Parliament (from 2024-07-16) || deputy chairperson (from 2023-12-14)
Ľudovít Ódor,Slovakia,,PS,Renew Europe,Q96747230,2024-07-16,1976-07-02,Komárno,Comenius University || Selye János Gimnázium,politician || economist || banker,Central European University || National Bank of Slovakia,,,Minister of Interior of the Slovak Republic (2023-07-19 to 2023-10-25) || Prime Minister of Slovakia (2023-05-15 to 2023-10-25) || vice president (from 2018-02-20) || vice president (2015-01-01 to 2017-01-01)
Ľubica Karvašová,Slovakia,,PS,Renew Europe,Q112472001,2024-07-16,1987-08-20,,,politician || economist || diplomat,,,,
Martin Hojsík,Slovakia,,PS,Renew Europe,Q64282369,2024-07-16,1977-01-20,Bratislava,Comenius University,politician || activist,Q81307,Progressive Slovakia,,Vice President of the European Parliament (from 2023-10-18)
Veronika Cifrová Ostrihoňová,Slovakia,,PS,Renew Europe,Q37814013,2024-07-16,1989-02-03,Bratislava,New York University,politician || television presenter,,,,
Michal Wiezik,Slovakia,,PS,Renew Europe,Q62667366,2024-07-16,1979-06-14,Martin,Technical University in Zvolen,scientist || politician,,Progressive Slovakia || Democrats,,
Lucia Yar,Slovakia,,PS,Renew Europe,Q126540636,2024-07-16,1987-05-15,Snina,"Faculty of Social and Economic Sciences, Comenius University in Bratislava || Faculty of Arts of the Comenius University in Bratislava",politician || political analyst,,,,
Monika Beňová,Slovakia,,Smer,Non-Inscrits,Q441032,2024-07-16,1968-08-15,Bratislava,"Faculty of Political Science and International Relations, Matej Bel University",politician,,Direction – Social Democracy,,
Ľuboš Blaha,Slovakia,,Smer,Non-Inscrits,,,,,,,,,,
Erik Kaliňák,Slovakia,,Smer,Non-Inscrits,Q124661466,2024-07-16,1991-09-09,Bratislava,Faculty of Arts of the Comenius University in Bratislava,politician,,Direction – Social Democracy,,Member of the National Council of the Slovak Republic
Judita Laššáková,Slovakia,,Smer,Non-Inscrits,Q127599332,2024-07-16,1977-12-04,Bratislava,,politician,,,,
Katarína Roth Neveďalová,Slovakia,,Smer,Non-Inscrits,Q1735624,2024-07-16,1982-11-10,Nitra,,politician,,Direction – Social Democracy,,
Milan Uhrík,Slovakia,,REP,Europe of Sovereign Nations,Q38655134,2024-07-16,1984-12-21,Nové Zámky,Slovak University of Technology in Bratislava,politician,,Republic,,Member of the National Council of the Slovak Republic
Milan Mazurek,Slovakia,,REP,Non-Inscrits,Q55376476,2024-07-16,1994-01-24,Kežmarok,,businessperson || politician,,Republic,,Member of the National Council of the Slovak Republic (2020-03-20 to 2023-10-25) || Member of the National Council of the Slovak Republic (2016-03-23 to 2019-07-03)
Branislav Ondruš,Slovakia,,Hlas,Non-Inscrits,Q12763441,2024-07-16,1973-03-28,Levoča,Comenius University,politician || journalist,TV Markíza || TV JOJ,Direction – Social Democracy || Party of the Democratic Left,,
Miriam Lexmann,Slovakia,,KDH,EPP,Q64452485,2024-07-16,1972-12-02,Bratislava,Comenius University,politician,,Christian Democratic Movement,,
Romana Tomc,Slovenia,,SDS,EPP,Q16089810,2024-07-16,1965-11-02,Ljubljana,University of Ljubljana,politician || economist,,Slovenian Democratic Party,,Representative of the Parliamentary Assembly of the Council of Europe (2012-04-23 to 2014-07-03)
Zala Tomašič,Slovenia,,SDS,EPP,Q124445369,2024-07-16,1995-09-29,Kranj,,politician || television presenter,,Slovenian Democratic Party,,
Milan Zver,Slovenia,,SDS,EPP,Q1628512,2024-07-16,1962-05-25,Ljubljana,University of Ljubljana || University of Graz,politician || sociologist,University of Maribor,Slovenian Democratic Party,,
Branko Grims,Slovenia,,SDS,EPP,Q18524166,2024-07-16,1962-08-26,Kranj,University of Ljubljana,politician || geologist || political scientist,,Slovenian Democratic Party,,Member of the National Assembly of Slovenia (from 2022-05-13) || Member of the National Assembly of Slovenia (from 2018-06-03) || Member of the National Assembly of Slovenia (from 2014-08-01) || Member of the National Assembly of Slovenia (from 2004-10-22)
Irena Joveva,Slovenia,,GS,Renew Europe,Q63400148,2024-07-16,1989-02-26,Kranj,University of Ljubljana,politician || journalist,,List of Marjan Šarec,Q109743033,
Marjan Šarec,Slovenia,,GS,Renew Europe,Q12795878,2024-07-16,1977-12-02,Ljubljana,"University of Ljubljana || Academy of Theatre, Radio, Film and Television",politician || comedian || journalist || television actor,,List of Marjan Šarec || Freedom Movement,,Minister of Defence (from 2022-06-01) || Prime Minister of Slovenia (2018-08-17 to 2020-03-03) || Member of the National Assembly of Slovenia (2018-06-03 to 2018-08-23) || Member of the National Assembly of Slovenia (from 2020-03-13)
Vladimir Prebilič,Slovenia,,Vesna,Greens/EFA,Q65643532,2024-07-16,1974-05-21,Ljubljana,,writer || politician || historian,,,,
Matjaž Nemec,Slovenia,,SD,S&D,Q27929326,2024-07-16,1980-04-10,Šempeter pri Gorici,,politician,,Social Democrats,,Member of the National Assembly of Slovenia (from 2018-06-03) || Member of the National Assembly of Slovenia (from 2014-08-01)
Matej Tonin,Slovenia,,NSi,EPP,Q12796084,2024-07-16,1983-07-30,Ljubljana,University of Ljubljana,politician || political scientist,,New Slovenia,,Member of the National Assembly of Slovenia (from 2022-05-13) || President of the National Assembly of Slovenia (2018-06-22 to 2018-08-23) || Minister of Defence (2020-03-13 to 2022-06-01) || Deputy Prime Minister of Slovenia (2020-03-13 to 2022-06-01) || Member of the National Assembly of Slovenia (2018-06-03 to 2020-03-19) || Member of the National Assembly of Slovenia (from 2014-08-01)
Dolors Montserrat,Spain,,PP,EPP,,,,,,,,,,
Carmen Crespo,Spain,,PP,EPP,Q5752490,2024-07-16,1966-12-08,Adra,,politician,,People's Party,,Q47132543 (2011-01-01 to 2015-01-01) || Member of the Parliament of Andalusia (1998-01-01 to 2011-01-01) || mayor (2003-01-01 to 2011-01-01) || Member of the Parliament of Andalusia (from 2015-01-01)
Alma Ezcurra,Spain,,PP,EPP,Q124293065,2024-07-16,1986-12-11,Madrid,Autonomous University of Madrid,politician,,People's Party,,
Esteban González Pons,Spain,,PP,EPP,Q2794709,2024-07-16,1964-08-21,Valencia,University of Valencia,writer || lawyer || politician,,People's Party,,Q57783780 (2006-05-30 to 2007-06-29) || member of the Senate of Spain (1996-03-03 to 2000-04-04) || Q105284044 (2007-06-14 to 2008-03-14) || Member of the Congress of Deputies (2011-12-13 to 2014-07-01) || Member of the Congress of Deputies (2008-04-01 to 2011-12-13) || member of the Corts Valencianes (2007-06-14 to 2008-03-14) || Member of the Congress of Deputies (2023-08-17 to 2024-07-01) || Q57783898 (2004-08-27 to 2006-05-30) || member of the Senate of Spain (2000-03-12 to 2003-06-20) || member of the Senate of Spain (1993-06-06 to 1996-01-09) || Q57783925 (2003-06-21 to 2004-08-27)
Fernando Navarrete,Spain,,PP,EPP,,,,,,,,,,
Javier Zarzalejos,Spain,,PP,EPP,Q20016702,2024-07-16,1960-06-06,Bilbao,University of Deusto,lawyer || politician,,People's Party,Grand Cross of the Order of Isabella the Catholic,Secretary-General of the Presidency of the Government (1996-01-01 to 2004-01-01)
Rosa Estaràs,Spain,,PP,EPP,Q4894822,2024-07-16,1965-10-21,Valldemossa,University of the Balearic Islands,lawyer || politician,,People's Party,,Member of the Congress of Deputies (2000-03-20 to 2003-06-04) || Vice President and Minister of Institutional Relations (2003-06-30 to 2007-07-09) || councilor of Valldemossa City Council (1991-01-01 to 2007-01-01) || Vice President of the Government of the Balearic Islands (1993-06-18 to 1996-06-18) || Member of the Parliament of the Balearic Islands (1995-06-21 to 2000-03-15) || Q54904043 (2008-07-05 to 2009-09-11) || Member of the Parliament of the Balearic Islands (2003-06-19 to 2009-07-14) || Minister of the Presidency of the Balearic Islands (1996-06-18 to 1999-07-27) || Director General of Institutional Relations (1991-08-01 to 1993-04-22)
Francisco Millán Mon,Spain,,PP,EPP,,,,,,,,,,
Pilar del Castillo,Spain,,PP,EPP,Q292095,2024-07-16,1952-07-31,Nador,Complutense University of Madrid || Ohio State University,politician,,People's Party || Communist Organization of Spain,Order of Charles III || Grand Cross of the Civil Order of Alfonso X the Wise,"full professor || Minister of Education, Culture and Sport (2000-04-27 to 2004-04-18) || Member of the Congress of Deputies (2004-03-30 to 2004-07-02)"
Adrián Vázquez Lázara,Spain,,PP,EPP,Q84143629,2024-07-16,1982-05-05,Madrid,Complutense University of Madrid || University of Warwick || Lindenwood University,politician,,Ciudadanos,,Q47454077 (2023-01-12 to 2024-03-22)
Gabriel Mato,Spain,,PP,EPP,,,,,,,,,,
Raúl de la Hoz Quintano,Spain,,PP,EPP,Q62030008,2024-07-16,1972-11-30,Palencia,,politician,,,,Member of the Cortes of Castile and León (1999-07-05 to 2003-06-16) || Member of the Cortes of Castile and León (2019-06-21 to 2022-03-10) || Member of the Cortes of Castile and León (from 2022-03-10) || Member of the Cortes of Castile and León (2007-06-19 to 2011-06-13) || Member of the Cortes of Castile and León (2003-06-17 to 2007-06-18) || Member of the Cortes of Castile and León (2011-06-14 to 2015-06-15) || Member of the Cortes of Castile and León (2015-06-16 to 2019-06-21)
Esther Herranz García,Spain,,PP,EPP,,,,,,,,,,
Juan Ignacio Zoido,Spain,,PP,EPP,Q2223607,2024-07-16,1957-01-21,Montellano,University of Seville || University of Granada,judge || lawyer || politician,,People's Party,Grand Officer of the Order of Prince Henry || Grand Cross of the Order of Charles III || Distinguished Cross 2nd class of the Order of St. Raymond of Peñafort,mayor of Seville (2011-06-11 to 2015-06-13) || Member of the Congress of Deputies (2016-07-12 to 2019-05-21) || Q47132543 (2002-08-02 to 2004-04-17) || Minister of the Interior of Spain (2016-11-04 to 2018-06-07) || chairperson (2011-06-11 to 2012-07-23) || Member of the Congress of Deputies (2016-01-02 to 2016-07-19) || Member of the Parliament of Andalusia (2008-03-09 to 2014-09-27) || Q47149673 (2000-04-27 to 2002-08-02) || chairperson (2012-07-14 to 2014-03-01) || Seville city councillors (2007-06-16 to 2016-11-04)
Susana Solís Pérez,Spain,,PP,EPP,Q63140495,2024-07-16,1971-12-21,Avilés,IE Business School || Osnabrück University of Applied Sciences || University of Oviedo,engineer || politician,,Ciudadanos,,member of the Assembly of Madrid (2015-06-09 to 2019-04-02)
Pablo Arias Echeverría,Spain,,PP,EPP,Q504595,2024-07-16,1970-06-30,Madrid,,politician,,People's Party,,
Antonio López-Istúriz,Spain,,PP,EPP,,,,,,,,,,
Isabel Benjumea,Spain,,PP,EPP,Q64094738,2024-07-16,1982-09-05,Madrid,Comillas Pontifical University,businessperson || politician,,People's Party,,
Borja Giménez Larraz,Spain,,PP,EPP,Q126717449,2024-07-16,1983-01-01,Zaragoza,,politician,,,,
Elena Nevado,Spain,,PP,EPP,,,,,,,,,,
Nicolás Pascual de la Parte,Spain,,PP,EPP,Q126489685,2024-07-16,1959-04-21,Q1014709,,politician,,,,
Maravillas Abadía Jover,Spain,,PP,EPP,Q127417808,2024-07-16,1981-12-08,Murcia,,politician || jurist,,,,
